Package_Name,Obfuscation_method,Path Obfuscated Code,Path Deobfuscated Code,Obfuscation Tool,Deobfuscation Tool,Obfuscated Code Detected,Deobfuscated Code Detected,Notes
mollie-shopware,String Array  Index Shift,/package/obfuscated/ndex(sa_index_shift).js,/package/deobfuscated/ndex(sa_index_shift)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
mollie-shopware,String Array Calls Transform,/package/obfuscated/ndex(sa_calls_trans).js,/package/deobfuscated/ndex(sa_calls_trans)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
gsap-tween,Simplify,/package/obfuscated/ndex(simplify).js,/package/deobfuscated/ndex(simplify)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
gsap-tween,Self Defending,/package/obfuscated/ndex(self_def).js,/package/deobfuscated/ndex(self_def)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,In obfuscator.io forcibly sets compact obfuscation value to true 
gsap-tween,Debug Protection,/package/obfuscated/ndex(deb_protect).js,/package/deobfuscated/ndex(deb_protect)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
gsap-tween,Number to Expressions,/package/obfuscated/ndex(num_to_exp).js,/package/deobfuscated/ndex(num_to_exp)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
gsap-tween,Control Flow Flattening,/package/obfuscated/ndex(control_flow).js,/package/deobfuscated/ndex(control_flow)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,The obfuscation would not be able to applied 
gsap-tween,Dead Code Injection,/package/obfuscated/ndex(dead_code).js,/package/deobfuscated/ndex(dead_code)deobf.js,manual,deobfuscate.relative.im,Yes,Yes,
gsap-tween,Split Strings,/package/obfuscated/ndex(split_str).js,/package/deobfuscated/ndex(split_str)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,Split Strings Chunk Length set on 2
gsap-tween,Unicode Escape Sequence,/package/obfuscated/ndex(unicode).js,/package/deobfuscated/ndex(unicode)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
gsap-tween,String Array ,/package/obfuscated/ndex(string_array).js,/package/deobfuscated/ndex(string_array)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
gsap-tween,String Array Rotate,/package/obfuscated/ndex(sa_rotate).js,/package/deobfuscated/ndex(sa_rotate)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
gsap-tween,String Array  Index Shift,/package/obfuscated/ndex(sa_index_shift).js,/package/deobfuscated/ndex(sa_index_shift)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
gsap-tween,String Array Calls Transform,/package/obfuscated/ndex(sa_calls_trans).js,/package/deobfuscated/ndex(sa_calls_trans)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
bleeding-edge-css,Simplify,/package/obfuscated/ndex(simplify).js,/package/deobfuscated/ndex(simplify)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
